# Assembly name:  EquCab3.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA421018
# Submitter:      University of Louisville
# Date:           2018-01-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PJAA01
# Assembly method: Celera Assembler v. 2017; HiRise v. 2017
# Expected final version: yes
# Genome coverage: 88.0x
# Sequencing technology: Sanger; Illumina HiSeq; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002863925.1
# RefSeq assembly accession: GCF_002863925.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002863935.1	GCF_002863935.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr1	assembled-molecule	1	Chromosome	CM009148.1	=	NC_009144.3	Primary Assembly	188260577	na
chr2	assembled-molecule	2	Chromosome	CM009149.1	=	NC_009145.3	Primary Assembly	121350024	na
chr3	assembled-molecule	3	Chromosome	CM009150.1	=	NC_009146.3	Primary Assembly	121351753	na
chr4	assembled-molecule	4	Chromosome	CM009151.1	=	NC_009147.3	Primary Assembly	109462549	na
chr5	assembled-molecule	5	Chromosome	CM009152.1	=	NC_009148.3	Primary Assembly	96759418	na
chr6	assembled-molecule	6	Chromosome	CM009153.1	=	NC_009149.3	Primary Assembly	87230776	na
chr7	assembled-molecule	7	Chromosome	CM009154.1	=	NC_009150.3	Primary Assembly	100787686	na
chr8	assembled-molecule	8	Chromosome	CM009155.1	=	NC_009151.3	Primary Assembly	97563019	na
chr9	assembled-molecule	9	Chromosome	CM009156.1	=	NC_009152.3	Primary Assembly	85793548	na
chr10	assembled-molecule	10	Chromosome	CM009157.1	=	NC_009153.3	Primary Assembly	85155674	na
chr11	assembled-molecule	11	Chromosome	CM009158.1	=	NC_009154.3	Primary Assembly	61676917	na
chr12	assembled-molecule	12	Chromosome	CM009159.1	=	NC_009155.3	Primary Assembly	36992759	na
